,Диаметр экспл.колонны,Буферное давление,Давление в линии,Динамическая высота,Затрубное давление,Обводненность,Глубина спуска,Давление на приеме
1130,157.0,6.6,5.6,2726.0,7.0,89.0,2779.0,11.0
1131,146.8,15.1,14.5,2164.0,15.4,22.0,2410.12,33.0
1132,146.8,23.5,22.6,2776.0,24.3,29.0,2881.45,39.0
1133,146.8,20.0,19.0,2617.0,21.2,16.0,2800.0,33.0
1134,159.6,23.0,22.0,2471.0,23.9,36.0,2560.0,32.0
1135,146.8,14.5,13.5,3092.0,15.0,47.0,3100.0,18.0
1136,146.8,19.0,18.0,2752.0,20.0,83.0,2802.0,27.0
1137,146.8,16.9,15.9,2819.0,17.4,16.0,2820.61,19.0
1138,146.8,17.4,16.4,3064.0,17.4,30.0,3098.94,23.0
1139,146.8,16.0,15.0,2820.0,16.0,38.0,2820.61,18.0
1140,146.8,28.0,26.0,2580.0,26.7,57.0,2680.0,34.0
1141,146.8,17.5,16.5,2371.0,18.2,46.0,2435.0,21.0
1142,157.0,7.0,6.0,2765.0,7.0,97.0,2775.09,8.0
1143,146.8,18.0,16.6,2452.0,18.0,94.0,2480.0,20.0
1144,146.8,7.0,6.0,2735.0,7.3,44.0,2782.54,11.0
1145,146.8,17.7,16.7,2512.0,19.2,40.0,2560.05,24.0
1146,146.8,21.0,20.0,2951.0,23.1,42.0,3077.98,26.0
1147,146.8,23.0,22.0,2763.0,23.7,62.0,2870.0,35.0
1148,146.8,10.0,9.0,2265.0,10.0,16.0,2612.21,24.0
1149,146.8,16.8,15.8,2391.0,16.9,18.0,2426.64,20.0
1150,146.8,20.0,19.0,3050.0,21.5,34.0,3099.23,23.0
1151,146.8,1.0,0.1,2115.0,3.8,28.0,2270.0,5.0
1152,146.8,12.0,11.0,3053.0,11.7,56.0,3150.0,20.0
1153,146.8,20.5,20.2,3011.0,21.3,18.0,3098.94,27.0
1154,159.6,19.5,17.4,2586.0,,35.0,2682.0,13.0
1155,146.8,9.0,8.0,2397.0,9.7,68.0,2540.0,11.0
1156,146.8,15.9,14.9,2812.0,17.0,60.0,2835.0,20.0
1157,146.8,38.0,22.0,2083.0,23.4,71.0,2289.0,36.0
1158,159.6,20.3,19.3,2672.0,19.5,81.0,2810.0,30.0
1159,146.8,20.6,20.0,2611.0,21.4,36.0,2662.49,25.0
1160,146.8,16.7,15.7,2380.0,16.9,10.0,2387.49,17.0
