,Диаметр экспл.колонны,Буферное давление,Давление в линии,Динамическая высота,Затрубное давление,Обводненность,Глубина спуска,Давление на приеме
0,150.2,20.1,19.1,2748.0,20.1,32.0,2820.0,26.0
1,146.8,23.0,22.0,2520.0,22.0,22.0,2630.0,36.0
2,146.8,16.6,15.6,2861.0,16.7,32.0,2957.68,23.0
3,146.8,20.0,19.0,2983.0,20.7,70.0,3071.1,23.0
4,146.8,9.1,8.1,2525.0,9.9,72.0,2540.0,11.0
5,146.8,20.0,19.0,2993.0,21.7,72.0,3033.75,25.0
6,146.8,16.0,15.1,2912.0,16.8,34.0,3099.23,28.0
7,146.8,16.4,15.4,2568.0,16.5,79.76,2615.0,20.0
8,146.8,14.0,13.0,2630.0,14.5,84.0,2657.31,15.0
9,146.8,10.0,9.0,2452.0,10.0,74.0,2605.43,25.0
10,159.6,10.0,9.0,2694.0,11.4,64.0,2765.0,14.0
11,146.8,16.0,15.0,2735.0,17.0,59.0,2750.0,19.0
12,146.8,18.9,17.9,2624.0,19.5,92.0,2680.0,25.0
13,146.8,7.1,6.1,2528.0,7.6,31.0,2556.04,11.0
14,157.0,7.2,6.2,2310.0,7.0,50.0,2370.17,13.0
15,146.8,23.0,22.0,2261.0,23.9,60.0,2287.0,38.0
16,159.6,16.0,15.0,2514.0,17.3,30.0,2561.76,20.0
17,146.8,18.5,17.5,2314.0,19.1,84.0,2316.0,21.0
18,150.2,20.0,19.0,2765.0,20.6,50.0,2820.0,26.0
19,146.8,18.7,17.8,2564.0,19.2,63.0,2654.0,29.0
20,146.8,23.0,22.0,2355.0,23.8,68.0,2461.0,28.0
21,146.8,18.5,17.5,2690.0,19.4,29.0,2957.68,29.0
22,146.8,20.0,19.0,2865.0,22.2,12.0,3098.94,42.0
23,146.8,25.0,24.0,2373.0,26.0,18.0,2405.0,28.0
24,146.8,7.1,6.2,2270.0,8.0,37.0,2366.0,18.0
25,146.8,18.0,17.0,2322.0,20.0,8.0,2362.0,25.0
26,146.8,22.7,21.7,2650.0,23.3,85.0,2665.61,25.0
27,146.8,15.0,14.2,2632.0,15.6,26.0,2727.16,18.0
28,146.8,19.4,17.4,2915.0,21.6,40.0,3140.39,30.0
29,146.8,20.0,19.0,2098.0,20.0,17.0,2345.64,23.0
30,159.6,24.0,21.0,2522.0,26.0,34.0,2535.0,30.0
31,146.8,19.3,18.2,2671.0,20.5,13.0,2800.0,34.0
32,146.8,14.0,13.0,2480.0,14.0,48.0,2538.2,17.0
33,159.6,17.0,16.2,2348.0,18.8,9.0,2659.0,46.0
34,146.8,27.0,20.0,2214.0,22.1,34.0,2290.0,34.0
35,146.8,14.0,13.0,2819.0,15.5,58.0,2832.87,35.0
36,146.8,19.0,18.0,2749.0,18.4,72.0,2822.0,25.0
37,150.2,16.4,15.4,2490.0,16.0,75.0,2648.28,18.0
38,157.0,7.3,6.8,2460.0,7.7,34.0,2502.0,10.0
39,146.8,15.5,15.5,1261.0,16.0,92.0,2189.2,104.0
40,159.6,18.5,17.5,2651.0,19.4,52.0,2825.8,22.0
41,146.8,19.0,18.0,2742.0,19.5,86.0,2802.0,25.0
42,,23.1,22.2,2486.0,23.6,8.0,2725.0,41.0
43,159.6,24.0,23.0,1415.0,10.1,69.0,2570.0,115.0
44,146.8,14.3,13.3,2587.0,15.1,65.0,2623.49,16.0
45,146.8,20.0,19.6,2334.0,21.4,20.0,2367.13,23.0
46,146.8,17.9,15.9,3126.0,16.0,61.0,3140.39,16.0
47,159.6,20.5,19.5,2678.0,21.0,76.0,2810.0,30.0
48,159.6,17.0,16.0,3165.0,16.85,37.0,3176.0,17.0
49,150.2,20.4,19.2,2748.0,20.0,53.0,2820.0,26.0
50,146.8,27.0,26.0,2568.0,27.2,20.0,2653.0,37.0
51,159.6,14.0,7.6,2530.0,10.0,63.0,2625.0,11.0
52,146.8,19.5,18.5,2266.0,21.0,61.0,2321.36,27.0
53,146.8,23.5,21.5,2741.0,22.4,18.0,2820.61,29.0
54,146.8,16.7,15.7,3061.0,17.2,40.0,3099.23,21.0
55,159.6,22.0,20.0,2578.0,22.7,58.0,2622.0,26.0
56,146.8,26.0,25.0,2247.0,27.0,28.0,2270.56,29.0
57,146.8,24.5,23.5,2747.0,25.0,20.0,2881.45,39.0
58,159.6,15.0,14.0,2655.0,15.0,93.0,2665.0,16.0
59,157.2,6.8,5.9,2632.0,8.1,18.0,2664.03,11.0
60,146.8,24.0,22.0,2249.0,23.0,37.0,2349.0,27.0
61,146.8,16.0,15.0,2635.0,16.0,75.0,2654.0,24.0
62,157.2,6.4,5.4,2623.0,6.9,18.0,2664.03,8.0
63,146.8,14.0,13.0,2606.0,14.5,65.0,2623.49,16.0
64,146.8,25.5,25.0,2776.0,26.2,23.0,2881.45,40.0
65,146.8,10.9,9.9,2448.0,12.0,30.0,2461.16,14.0
66,146.8,17.9,16.9,2260.0,18.7,55.0,2310.1,26.0
67,150.2,20.6,19.5,2740.0,21.4,35.0,2820.0,27.0
68,146.8,16.4,15.4,2375.0,18.4,40.0,2440.0,21.0
69,146.8,8.6,7.6,2645.0,10.5,33.0,2760.0,21.0
70,146.8,20.0,19.0,2416.0,21.6,35.0,2532.08,27.0
71,146.8,17.2,16.2,2953.0,17.6,29.0,3027.0,24.0
72,146.8,18.4,17.4,3091.0,19.5,38.0,3099.23,23.0
73,146.8,7.1,6.1,2492.0,8.2,36.0,2507.11,13.0
74,150.2,28.0,27.0,2605.0,27.6,16.0,2725.0,38.0
75,159.6,18.1,17.1,2080.0,19.6,10.0,2550.91,61.0
76,157.2,7.0,6.1,2638.0,7.6,20.0,2664.03,11.0
77,146.8,14.0,13.0,2520.0,16.2,72.0,2587.73,25.0
78,146.8,21.0,20.0,2024.0,20.6,24.0,2250.78,50.0
79,146.8,14.2,13.2,2782.0,14.1,48.0,2803.34,17.0
80,147.2,7.0,6.0,2231.0,7.1,50.0,2520.84,25.0
81,157.2,6.2,5.4,2346.0,6.1,64.0,2365.0,8.0
82,146.8,21.0,20.0,2456.0,22.0,36.0,2532.08,27.0
83,146.8,20.5,19.5,2396.0,21.1,22.0,2426.64,24.0
84,146.8,14.5,13.5,3048.0,14.0,40.0,3051.5,18.0
85,146.8,16.7,15.6,2280.0,17.8,27.0,2328.34,21.0
86,146.8,38.0,22.5,2248.0,24.1,68.0,2289.0,27.0
87,146.8,21.0,20.0,2435.0,19.9,58.0,2481.0,24.0
88,146.8,9.0,8.2,2387.0,9.7,42.0,2598.05,19.0
89,146.8,20.5,19.5,3118.0,21.1,40.0,3140.39,24.0
90,159.6,12.5,11.5,2275.0,13.7,53.0,2670.0,48.0
91,146.8,20.0,19.0,2770.0,20.1,63.0,2782.0,21.0
92,146.8,17.0,16.1,2709.0,18.3,32.0,3037.2,32.0
93,146.8,19.5,18.5,3071.0,20.3,34.0,3099.23,23.0
94,146.8,16.0,15.0,2682.0,16.0,95.0,2750.0,21.0
95,150.2,16.3,15.3,2077.0,16.9,53.0,2129.0,21.0
96,146.8,27.0,26.0,1934.0,27.9,80.0,2289.0,66.0
97,150.2,17.5,16.5,2091.0,18.6,52.0,2140.0,24.0
98,146.8,17.5,16.5,2212.0,18.5,20.0,2310.0,27.0
99,146.8,19.5,18.5,2210.0,22.7,35.0,2581.0,80.0
100,146.8,20.3,19.3,2942.0,21.6,34.0,2947.0,22.0
101,146.8,21.0,20.0,2594.0,22.0,46.0,2750.0,34.0
102,146.8,15.5,14.5,2974.0,16.3,22.0,3034.33,23.0
103,159.6,32.0,20.0,2876.0,22.0,56.0,2900.0,24.0
104,146.8,22.0,21.0,2231.0,22.0,88.0,2245.6,25.0
105,150.2,12.0,11.0,2300.0,14.5,16.0,2370.0,19.0
106,157.0,6.0,5.0,2241.0,6.5,50.0,2340.0,11.0
107,157.2,6.9,5.9,2362.0,4.2,56.0,2380.0,5.0
108,159.6,9.5,8.7,2424.0,13.5,10.0,2824.0,21.0
109,146.8,15.3,14.3,2886.0,15.3,26.0,2957.68,21.0
110,146.8,20.5,18.5,2314.0,21.0,62.0,2331.3,23.0
111,146.8,14.0,12.8,2170.0,13.6,81.0,2189.2,14.0
112,146.8,23.0,22.8,2308.0,25.0,48.0,2607.0,52.0
113,146.8,24.0,23.0,2892.0,27.3,48.0,3311.0,66.0
114,146.8,20.5,19.5,2221.0,21.7,81.0,2316.77,52.0
115,146.8,20.5,20.0,2231.0,21.4,44.0,2234.0,25.0
116,146.8,17.0,16.0,2608.0,17.6,68.0,2654.0,26.0
117,146.8,13.0,12.0,2979.0,13.0,71.0,2989.17,14.0
118,146.8,9.0,8.0,2413.0,10.1,70.0,2540.0,11.0
119,146.8,7.2,6.2,2321.0,8.4,37.0,2366.0,11.0
120,146.8,20.0,19.0,2772.0,21.3,31.0,2947.0,32.0
121,150.2,18.8,17.8,2246.0,19.8,47.0,2298.0,21.0
122,157.0,7.3,6.3,2312.0,8.0,46.0,2370.17,13.0
123,146.8,16.6,15.8,2946.0,17.4,72.0,3033.75,20.0
124,146.8,16.1,15.1,2746.0,16.8,46.0,2890.0,23.0
125,146.8,19.1,18.3,2830.0,20.1,46.0,3106.26,37.0
126,146.8,17.0,16.2,2298.0,18.3,33.0,2410.12,29.0
127,157.2,6.4,5.4,2336.0,6.9,63.0,2365.0,8.0
128,146.8,27.9,26.9,2601.0,28.7,45.0,2643.0,32.0
129,146.8,11.6,10.6,2740.0,13.0,34.0,2832.62,19.0
130,146.8,16.3,15.4,2864.0,16.5,82.0,2871.0,24.0
131,146.8,19.0,18.0,2082.0,19.8,72.0,2316.77,52.0
132,146.8,12.0,11.0,2389.0,12.0,28.0,2491.11,14.0
133,146.8,17.0,16.1,2689.0,17.9,31.0,3140.39,42.0
134,146.8,20.0,19.0,2360.0,20.7,54.0,2435.0,21.0
135,146.8,15.0,14.0,2738.0,14.0,61.0,2756.0,15.0
136,146.8,24.0,23.0,2380.0,24.0,88.0,2479.0,33.0
137,146.8,13.0,12.0,2663.0,12.0,53.0,2667.72,12.0
138,146.8,11.5,10.4,2171.0,12.5,28.0,2420.0,32.0
139,159.6,9.1,8.2,2974.0,10.0,92.0,3067.98,13.0
140,146.8,19.5,18.5,2180.0,20.2,63.0,2287.0,32.0
141,146.8,14.0,13.1,2642.0,14.5,77.0,2657.31,16.0
142,146.8,18.7,17.3,2425.0,18.3,20.0,2426.64,21.0
143,146.8,20.0,19.0,2763.0,21.3,60.0,2782.0,23.0
144,146.8,9.3,8.3,2996.0,10.2,23.0,3119.11,14.0
145,157.2,7.0,6.0,2493.0,7.7,48.0,2593.84,15.0
146,146.8,25.0,24.0,2415.0,24.2,43.0,2427.0,26.0
147,146.8,15.0,14.0,2908.0,15.0,35.0,3051.5,18.0
148,146.8,17.0,16.0,2540.0,17.0,72.0,2614.6,19.0
149,150.2,19.0,18.0,2278.0,19.0,48.0,2298.0,21.0
150,146.8,19.0,18.3,2463.0,20.6,78.0,2665.61,22.0
151,146.8,16.4,15.2,3042.0,17.1,43.0,3099.23,21.0
152,146.8,20.0,19.0,2332.0,21.8,52.0,2338.34,26.0
153,146.8,6.5,5.5,2532.0,7.0,58.0,2556.04,9.0
154,146.8,23.5,22.8,2115.0,24.1,28.0,2392.0,40.0
155,157.2,7.0,6.0,2122.0,8.2,40.0,2619.0,32.0
156,146.8,16.4,15.4,2937.0,17.3,22.0,3051.5,21.0
157,159.6,28.6,27.5,2425.0,28.0,68.0,2570.0,40.0
158,146.8,21.0,19.0,2481.0,22.1,45.0,2654.0,29.0
159,146.8,20.5,20.0,2320.0,21.6,62.0,2435.0,31.0
160,146.8,19.0,18.0,2349.0,19.0,92.0,2480.0,22.0
161,146.8,20.3,19.6,2742.0,21.4,80.0,2933.22,37.0
162,146.8,20.0,19.5,2410.0,20.6,60.0,2412.84,22.0
163,146.8,23.0,21.8,2564.0,22.0,94.0,2680.0,32.0
164,146.8,24.5,23.5,2340.0,22.4,40.0,2630.0,40.0
165,146.8,26.5,26.0,2169.0,27.2,66.0,2289.2,38.0
166,146.8,17.0,16.0,2796.0,17.0,33.0,3077.98,40.0
167,146.8,21.0,20.0,2453.0,22.3,36.0,2532.08,26.0
168,146.8,15.0,14.0,3041.0,15.0,45.0,3099.23,20.0
169,146.8,13.4,12.5,2700.0,6.0,51.0,2775.0,20.0
170,146.8,18.5,17.5,2640.0,18.0,64.0,2654.0,27.0
171,146.8,17.3,16.3,2847.0,18.5,63.0,2909.24,22.0
172,157.2,6.9,5.6,2643.0,6.7,20.0,2664.03,9.0
173,146.8,20.3,19.3,2119.0,21.3,38.0,2234.0,24.0
174,157.2,15.0,6.3,2368.0,7.0,75.0,2377.28,8.0
175,146.8,16.7,15.7,2621.0,17.2,96.0,2680.0,25.0
176,146.8,17.1,16.1,2634.0,18.0,63.0,2691.0,23.0
177,146.8,19.5,18.5,2680.0,20.0,13.0,2820.61,29.0
178,146.8,17.8,16.8,2106.0,18.0,20.0,2234.0,22.0
179,146.8,26.6,25.6,2419.0,27.4,47.0,2450.0,32.0
180,146.8,21.5,21.2,2557.0,21.6,43.0,2651.37,29.0
181,146.8,21.0,20.0,2634.0,21.5,84.0,2637.0,23.0
182,146.8,17.0,16.5,2057.0,18.0,28.0,2302.04,47.0
183,147.2,6.5,6.0,2120.0,7.8,60.0,2520.84,32.0
184,150.2,18.0,17.0,2632.0,18.1,77.0,2648.0,20.0
185,146.8,17.7,16.7,2392.0,18.0,19.0,2426.64,20.0
186,146.8,17.5,16.1,2776.0,15.6,44.0,2782.0,15.0
187,146.8,17.0,16.0,2346.0,17.8,36.0,2555.0,33.0
188,146.8,21.4,20.4,3065.0,21.1,43.0,3099.23,24.0
189,157.2,7.7,6.8,2419.0,7.1,12.0,2660.0,30.0
190,146.8,23.5,22.8,2860.0,25.0,30.0,2875.29,24.0
191,146.8,17.2,16.2,2481.0,17.7,90.0,2680.0,27.0
192,146.8,21.0,20.0,2589.0,0.7,19.0,2654.0,5.0
193,146.8,18.5,17.5,2199.0,19.0,28.0,2237.0,23.0
194,146.8,17.2,16.2,2426.0,17.2,87.0,2429.25,21.0
195,146.8,16.8,15.8,2382.0,18.5,36.0,2440.0,22.0
196,146.8,17.0,16.0,2184.0,17.2,30.0,2560.51,40.0
197,146.8,9.3,8.3,2448.0,11.8,64.0,2605.43,24.0
198,146.8,9.5,8.5,2799.0,11.6,58.0,2842.0,14.0
199,146.8,20.3,18.5,2568.0,20.4,46.0,2654.0,30.0
200,146.8,26.5,25.0,2267.0,27.6,26.0,2316.0,32.0
201,146.8,6.9,5.9,2445.0,7.8,80.0,2551.94,13.0
202,150.2,26.0,25.0,2600.0,26.1,20.0,2725.0,38.0
203,146.8,20.0,19.0,2670.0,20.1,44.0,2728.04,24.0
204,150.2,20.0,19.0,1883.0,21.8,60.0,2234.0,47.0
205,146.8,16.0,15.0,1534.0,15.7,38.0,2344.0,88.0
206,150.2,16.2,15.2,2080.0,16.2,61.0,2140.0,23.0
207,146.8,9.4,8.4,2564.0,11.7,54.0,2605.43,14.0
208,146.8,9.0,8.3,2531.0,12.2,72.0,2540.0,13.0
209,157.0,7.5,6.5,2312.0,8.0,48.0,2370.17,13.0
210,146.8,19.5,18.5,2884.0,19.1,22.0,2926.84,18.0
211,146.8,23.0,22.0,2639.0,24.3,84.0,2665.61,25.0
212,146.8,18.4,17.4,2559.0,19.3,20.0,2662.49,28.0
213,159.6,20.0,19.1,2923.0,21.1,92.0,2968.0,25.0
214,146.8,21.0,20.0,3051.0,21.5,16.0,3098.94,26.0
215,146.8,14.0,13.0,2910.0,14.0,52.0,2980.75,19.0
216,150.2,28.0,27.0,2612.0,28.5,14.0,2725.0,40.0
217,146.8,19.0,18.0,2346.0,20.0,18.0,2414.97,26.0
218,146.8,16.8,16.1,2325.0,20.4,20.0,2426.64,25.0
219,146.8,16.4,15.4,2651.0,17.4,76.0,2681.0,21.0
220,146.8,16.7,15.7,2216.25,17.6,24.0,2237.0,21.0
221,146.8,16.7,15.7,2581.0,17.2,73.0,2614.6,20.0
222,146.8,16.4,15.4,2456.0,16.9,62.0,2750.0,20.0
223,146.8,14.4,13.4,2659.0,16.7,76.0,2691.0,19.0
224,146.8,21.0,20.2,2294.0,22.3,56.0,2338.34,26.0
225,146.8,19.0,18.3,2696.0,18.9,36.0,2785.0,32.0
226,146.8,17.1,16.1,2746.0,17.5,60.0,2756.0,19.0
227,157.2,10.0,5.6,2652.0,6.8,24.0,2664.03,8.0
228,146.8,15.7,14.7,2820.0,16.0,72.0,2871.0,26.0
229,159.6,9.5,8.5,2611.0,10.8,50.0,2670.19,16.0
230,150.2,28.0,27.0,2623.0,28.6,18.0,2725.0,39.0
231,146.8,23.0,22.0,2238.0,24.1,33.0,2257.49,28.0
232,146.8,26.5,26.0,2638.0,26.6,32.0,2643.0,29.0
233,146.8,18.5,17.3,3042.0,20.0,28.0,3098.94,24.0
234,146.8,21.0,20.0,3081.0,22.3,36.0,3099.23,24.0
235,146.8,18.7,17.8,2480.0,21.6,92.0,2485.94,22.0
236,146.8,16.5,15.5,2200.0,17.6,28.0,2269.32,23.0
237,146.8,20.0,19.0,3017.0,22.1,71.0,3033.75,23.0
238,146.8,20.2,19.2,3299.0,20.6,48.0,3311.0,20.0
239,146.8,25.0,22.0,3309.0,23.0,45.0,3311.0,24.0
240,146.8,15.9,15.0,2534.0,16.9,46.0,2614.6,19.0
241,146.8,13.4,12.5,2310.0,13.8,20.0,2410.0,20.0
242,146.8,24.5,23.5,2325.0,24.0,66.0,2340.0,29.0
243,146.8,20.3,19.3,2448.0,21.8,32.0,2532.08,27.0
244,146.8,20.5,19.5,2323.0,22.0,14.0,2362.0,26.0
245,159.6,9.0,8.0,2660.0,10.0,79.0,2765.0,19.0
246,157.2,7.5,6.5,2212.0,8.0,55.0,2380.0,14.0
247,159.6,9.0,8.0,2614.0,9.7,61.0,2625.0,11.0
248,146.8,19.0,18.0,2920.0,20.0,40.0,2926.0,23.0
249,146.8,11.0,10.0,3104.0,11.6,43.0,3131.75,14.0
250,150.2,12.5,11.4,2955.0,13.0,50.0,2971.0,19.0
251,150.2,20.0,19.0,1978.0,22.8,61.0,2234.0,43.0
252,146.8,23.5,22.6,2504.0,23.9,82.0,2578.0,29.0
253,146.8,16.5,15.5,2247.0,17.7,16.0,2367.13,27.0
254,146.8,23.0,22.0,2215.0,24.3,91.0,2353.0,38.0
255,146.8,16.3,15.5,2461.0,16.8,81.0,2500.28,18.0
256,146.8,27.1,26.0,2602.0,28.7,40.0,2680.0,35.0
257,146.8,14.9,13.9,2791.0,15.5,85.0,2907.12,17.0
258,146.8,20.6,20.0,2602.0,21.6,37.0,2662.49,25.0
259,159.6,18.9,17.5,3159.0,18.3,32.0,3176.0,20.0
260,159.6,21.8,20.0,2566.0,21.8,86.0,2570.0,22.0
261,146.8,27.0,26.2,2670.0,26.4,84.0,2854.0,44.0
262,146.8,17.0,16.0,3011.0,16.8,32.0,3049.43,23.0
263,146.8,8.7,7.8,1527.0,9.9,53.4,1897.92,42.0
264,146.8,17.5,16.5,2559.0,18.9,34.0,2560.05,22.0
265,146.8,20.3,19.3,2148.0,21.4,83.0,2316.77,37.0
266,146.8,21.0,20.0,2339.0,21.5,36.0,2572.26,29.0
267,146.8,12.6,11.8,2304.0,13.9,32.0,2331.0,18.0
268,146.8,23.0,21.0,2456.0,22.4,80.0,2479.0,29.0
269,146.8,14.0,13.0,2700.0,15.4,76.0,2731.0,18.0
270,146.8,16.0,15.0,2461.0,15.6,11.0,3098.94,49.0
271,146.8,13.5,12.5,2408.0,13.5,70.0,2440.2,21.0
272,146.8,17.0,16.0,2680.0,18.0,29.0,2729.16,25.0
273,147.2,7.0,6.0,2246.0,7.5,72.0,2520.84,25.0
274,146.8,17.5,16.5,2400.0,18.5,59.0,2435.0,21.0
275,146.8,19.0,18.0,2790.0,20.1,15.0,3098.94,45.0
276,146.8,27.0,26.0,2460.0,27.8,84.0,2461.0,30.0
277,146.8,20.0,19.0,1499.0,19.5,21.0,2281.0,87.0
278,146.8,23.0,22.0,2282.0,23.7,62.0,2287.0,38.0
279,159.6,9.5,8.5,2750.0,12.2,14.0,2824.0,22.0
280,146.8,6.3,5.4,2349.0,6.0,40.0,2370.17,12.0
281,146.8,16.1,15.1,2584.0,16.1,88.0,2665.61,23.0
282,146.8,9.5,8.7,2338.0,10.7,25.0,2402.22,16.0
283,146.8,16.4,15.4,2479.0,17.0,30.0,2481.0,19.0
284,146.8,30.0,24.9,2227.0,27.6,26.0,2280.0,31.0
285,146.8,26.0,26.0,2972.0,27.1,59.0,3036.0,33.0
286,146.8,19.0,6.0,2389.0,9.2,40.0,2507.11,18.0
287,159.6,23.0,22.0,2621.0,23.2,58.0,2834.0,33.0
288,157.2,7.0,6.0,2350.0,8.0,57.0,2359.0,10.0
289,146.8,6.0,4.8,2546.0,7.0,88.0,2551.94,7.0
290,146.8,18.2,17.2,2646.0,18.8,69.0,2650.0,24.0
291,146.8,23.0,22.8,3012.0,24.1,31.0,3150.23,36.0
292,146.8,11.0,10.1,2824.0,12.1,22.0,2855.09,15.0
293,157.2,6.0,6.0,2352.0,6.5,87.0,2365.0,7.0
294,146.8,16.3,15.6,2603.0,18.0,34.0,2728.04,27.0
295,157.2,6.8,5.8,2360.0,7.3,60.0,2365.0,10.0
296,146.8,23.0,22.4,3030.0,25.6,36.0,3106.26,26.0
297,146.8,17.2,16.2,2936.0,18.7,71.0,3033.75,22.0
298,157.0,7.0,6.0,2305.0,9.0,32.0,2502.0,19.0
299,159.6,19.0,18.0,2623.0,0.9,37.0,2682.0,6.0
300,159.6,8.3,7.4,2640.0,9.5,70.0,2641.0,10.0
301,146.8,19.0,18.0,3066.0,20.0,76.0,3071.1,19.0
302,159.6,16.0,15.0,2435.0,16.0,28.0,2561.76,21.0
303,146.8,17.3,16.3,2078.0,17.5,29.0,2328.34,38.0
304,146.8,28.2,27.2,2763.0,29.3,67.0,2805.0,34.0
305,157.2,7.1,6.1,2290.0,7.4,50.0,2380.0,14.0
306,159.6,8.7,7.7,2650.0,9.5,24.0,2720.0,12.0
307,146.8,1.0,0.1,2265.0,1.5,71.8,2270.0,5.0
308,146.8,16.4,15.4,2228.0,16.8,88.0,2290.26,18.0
309,150.2,25.7,24.7,2771.0,27.0,36.0,2820.0,33.0
310,159.6,16.4,15.4,2446.0,16.9,32.0,2535.0,26.0
311,157.0,7.0,6.0,2315.0,8.0,24.0,2322.33,9.0
312,146.8,16.6,15.0,2804.0,17.0,16.0,2820.61,22.0
313,159.6,23.0,22.0,2302.0,23.4,35.0,2682.0,55.0
314,146.8,23.0,22.0,2630.0,23.6,13.0,2632.0,28.0
315,150.2,20.6,19.6,2758.0,21.1,30.0,2820.0,27.0
316,146.8,20.0,18.6,2766.0,20.2,12.0,2820.61,25.0
317,159.6,8.6,7.6,2642.0,9.2,24.0,2720.0,12.0
318,146.8,18.8,18.2,2872.0,19.0,68.0,2875.29,24.0
319,146.8,20.0,18.5,2699.0,23.0,36.0,2731.0,26.0
320,159.6,10.0,8.2,994.0,7.0,64.0,2625.0,140.0
321,157.0,7.4,6.7,2436.0,9.3,48.0,2502.0,17.0
322,146.8,20.0,19.0,2077.0,20.9,72.0,2290.27,27.0
323,146.8,20.0,19.0,2531.0,20.5,44.0,2555.0,27.0
324,146.8,17.2,16.2,2821.0,17.4,74.0,2822.0,23.0
325,146.8,12.0,11.0,3059.0,14.0,31.0,3200.34,19.0
326,159.6,18.8,17.3,2624.0,19.8,32.0,2662.0,23.0
327,146.8,15.5,14.5,1599.0,15.9,42.0,2344.0,78.0
328,159.6,20.4,19.0,2822.0,20.3,50.0,2834.0,22.0
329,159.6,20.0,19.0,2412.0,21.0,15.0,2662.0,27.0
330,146.8,20.0,19.0,2491.0,20.4,10.0,2600.0,30.0
331,146.8,16.8,16.0,2679.0,18.7,43.0,2702.0,19.0
332,146.8,20.2,20.0,2305.0,20.3,30.0,2328.34,27.0
333,146.8,18.5,18.0,2695.0,19.0,76.0,2790.0,22.0
334,146.8,19.0,18.0,2840.0,20.0,70.0,2870.0,27.0
335,146.8,18.6,17.0,2476.0,18.7,32.0,2572.0,27.0
336,146.8,27.0,26.0,1714.0,28.1,86.0,2289.0,78.0
337,146.8,16.9,15.7,2472.0,17.0,85.0,2665.61,28.0
338,146.8,13.9,12.9,2702.0,13.8,45.0,2731.0,18.0
339,146.8,19.0,18.5,2695.0,19.4,78.0,2802.0,28.0
340,146.8,16.3,15.3,2479.0,16.8,72.0,2481.0,19.0
341,146.8,17.0,16.3,2217.0,17.6,24.0,2269.32,24.0
342,146.8,16.5,15.5,2750.0,18.0,,2847.0,7.0
343,146.8,16.7,15.8,2847.0,17.0,38.0,3075.0,21.0
344,150.2,19.5,18.5,2670.0,21.0,31.0,2731.0,27.0
345,146.8,25.0,24.0,2713.0,25.8,35.0,2820.0,35.0
346,159.6,18.5,17.5,2877.0,18.0,62.0,2900.0,20.0
347,146.8,19.0,18.0,2235.0,20.7,38.0,2410.12,33.0
348,146.8,25.0,17.3,2346.0,17.5,12.0,2387.49,18.0
349,157.2,30.0,6.2,2360.0,7.2,48.0,2380.0,9.0
350,157.2,6.8,5.8,2391.0,8.0,13.0,2663.0,26.0
351,146.8,24.0,23.0,2241.0,24.0,91.0,2353.0,34.0
352,159.6,26.5,25.6,2524.0,27.7,10.0,2550.91,30.0
353,146.8,12.4,11.5,2535.0,13.9,48.0,2614.0,18.0
354,146.8,16.5,15.5,1680.0,17.4,32.0,2344.0,69.0
355,146.8,10.0,9.0,2189.0,10.9,16.0,2402.22,31.0
356,146.8,28.3,27.3,2750.0,28.7,67.0,2805.0,34.0
357,146.8,20.5,20.0,2320.0,21.6,62.0,2435.0,31.0
358,159.6,17.0,16.0,2521.0,18.0,29.0,2561.76,21.0
359,146.8,7.0,6.0,2351.0,7.0,84.0,2443.63,13.0
360,146.8,22.3,21.0,3173.0,22.6,30.0,3221.0,26.0
361,149.0,9.0,8.0,2335.0,9.0,36.0,2349.14,13.0
362,146.8,20.3,19.7,2672.0,21.5,16.0,2800.0,32.0
363,146.8,8.9,7.9,2604.0,9.4,70.0,2605.43,10.0
364,159.6,21.0,20.0,2811.0,0.9,48.0,2834.0,4.0
365,146.8,16.9,15.7,2736.0,18.0,47.0,2756.0,20.0
366,146.8,17.0,16.3,2276.0,18.1,18.0,2662.49,37.0
367,159.6,16.8,15.8,2631.0,17.3,63.0,2662.0,23.0
368,146.8,18.2,17.2,2520.0,20.1,77.0,2530.0,24.0
369,159.6,28.6,27.5,2271.0,28.0,84.0,2570.0,49.0
370,146.8,27.0,26.0,2310.0,27.7,39.0,2316.0,33.0
371,146.8,17.9,17.1,2618.0,18.2,26.0,2662.49,22.0
372,146.8,11.0,10.0,3005.0,12.0,60.0,3014.0,16.0
373,146.8,23.0,22.4,3104.0,25.5,42.0,3106.26,26.0
374,146.8,21.0,20.0,2742.0,21.6,57.0,2772.49,34.0
375,159.6,16.0,15.0,2432.0,16.0,38.0,2535.0,30.0
376,146.8,17.2,16.3,2882.0,17.5,69.0,2968.57,23.0
377,146.8,16.0,15.4,2253.0,16.2,30.0,2328.34,24.0
378,146.8,18.5,17.5,2410.0,20.7,43.0,2560.05,33.0
379,129.0,20.0,18.8,2250.0,15.5,92.0,2262.0,18.0
380,146.8,20.5,20.0,2220.0,21.7,42.0,2234.0,23.0
381,146.8,25.0,20.5,2469.0,22.6,45.0,2504.0,31.0
382,157.2,9.2,8.2,2297.0,9.4,17.0,2350.0,14.0
383,157.2,6.1,5.1,2356.0,6.7,92.0,2365.0,7.0
384,157.0,7.0,6.0,2066.0,7.5,39.0,2322.33,23.0
385,146.8,16.3,15.3,2314.0,17.6,84.0,2320.0,20.0
386,146.8,19.7,18.7,2504.0,20.9,84.0,2665.61,23.0
